case,year,fatalities,injured,total_victims
Oregon Community College shooting,2015,10,7,17
Chattanooga military recruitment center,2015,5,2,7
Charleston Church Shooting,2015,9,1,10
Marysville-Pilchuck High Schoolshooting,2014,5,1,6
Alturas tribal shooting,2014,4,2,6
Washington Navy Yard shooting,2013,13,8,21
Hialeah apartment shooting,2013,7,0,7
Santa Monica rampage,2013,6,3,9
Pinewood Village Apartment shooting,2013,5,0,5
Mohawk Valley shootings,2013,5,2,7
Newtown school shooting,2012,28,2,30
Accent Signage Systems shooting,2012,7,1,8
Sikh temple shooting,2012,7,3,10
Aurora theater shooting,2012,12,58,70
Seattle cafe shooting,2012,6,1,7
Oikos University killings,2012,7,3,10
Su Jung Health Sauna shooting,2012,5,0,5
Seal Beach shooting,2011,8,1,9
IHOP shooting,2011,5,7,12
Tucson shooting,2011,6,13,19
Hartford Beer Distributor shooting,2010,9,2,11
Coffee shop police killings,2009,4,1,5
Fort Hood massacre,2009,13,30,43
Binghamton shootings,2009,14,4,18
Carthage nursing home shooting,2009,8,3,11
Atlantis Plastics shooting,2008,6,1,7
Northern Illinois University shooting,2008,6,21,27
Kirkwood City Council shooting,2008,6,2,8
Westroads Mall shooting,2007,9,4,13
Crandon shooting,2007,6,1,7
Virginia Tech massacre,2007,33,23,56
Trolley Square shooting,2007,6,4,10
Amish school shooting,2006,6,5,11
Capitol Hill massacre,2006,7,2,9
Goleta postal shootings,2006,8,0,8
Red Lake massacre,2005,10,5,15
Living Church of God shooting,2005,7,4,11
Damageplan show shooting,2004,5,7,12
Lockheed Martin shooting,2003,7,8,15
Navistar shooting,2001,5,4,9
Wakefield massacre,2000,7,0,7
Hotel shooting,1999,5,3,8
Xerox killings,1999,7,0,7
Wedgwood Baptist Church shooting,1999,8,7,15
Atlanta day trading spree killings,1999,9,13,22
Columbine High School massacre,1999,15,24,39
Thurston High School shooting,1998,4,25,29
Westside Middle School killings,1998,5,10,15
Connecticut Lottery shooting,1998,5,1,6
Caltrans maintenance yard shooting,1997,5,2,7
R.E. Phelon Company shooting,1997,4,3,7
Fort Lauderdale revenge shooting,1996,6,1,7
Walter Rossler Company massacre,1995,6,0,6
Air Force base shooting,1994,5,23,28
Chuck E. Cheese's killings,1993,4,1,5
Long Island Rail Road massacre,1993,6,19,25
Luigi's shooting,1993,4,8,12
101 California Street shootings,1993,9,6,15
Watkins Glen killings,1992,5,0,5
Lindhurst High School shooting,1992,4,10,14
Royal Oak postal shootings,1991,5,5,10
University of Iowa shooting,1991,6,1,7
Luby's massacre,1991,24,20,44
GMAC massacre,1990,10,4,14
Standard Gravure shooting,1989,9,12,21
Stockton schoolyard shooting,1989,6,29,35
ESL shooting,1988,7,4,11
Shopping centers spree killings,1987,6,14,20
United States Postal Service shooting,1986,15,6,21
San Ysidro McDonald's massacre,1984,22,19,41
Dallas nightclub shooting,1984,6,1,7
Welding shop shooting,1982,8,3,11
