year,fatalities,injured,total_victims,case
1982,8,3,11,Welding shop shooting
1984,28,20,48,"San Ysidro McDonald's massacre, Dallas nightclub shooting"
1986,15,6,21,United States Postal Service shooting
1987,6,14,20,Shopping centers spree killings
1988,7,4,11,ESL shooting
1989,15,41,56,"Standard Gravure shooting, Stockton schoolyard shooting"
1990,10,4,14,GMAC massacre
1991,35,26,61,"Royal Oak postal shootings, University of Iowa shooting, Luby's massacre"
1992,9,10,19,"Watkins Glen killings, Lindhurst High School shooting"
1993,23,34,57,"Chuck E. Cheese's killings, Long Island Rail Road massacre, Luigi's shooting, 101 California Street shootings"
1994,5,23,28,Air Force base shooting
1995,6,0,6,Walter Rossler Company massacre
1996,6,1,7,Fort Lauderdale revenge shooting
1997,9,5,14,"Caltrans maintenance yard shooting, R.E. Phelon Company shooting"
1998,14,36,50,"Thurston High School shooting, Westside Middle School killings, Connecticut Lottery shooting"
1999,44,47,91,"Hotel shooting, Xerox killings, Wedgwood Baptist Church shooting, Atlanta day trading spree killings, Columbine High School massacre"
2000,7,0,7,Wakefield massacre
2001,5,4,9,Navistar shooting
2003,7,8,15,Lockheed Martin shooting
2004,5,7,12,Damageplan show shooting
2005,17,9,26,"Red Lake massacre, Living Church of God shooting"
2006,21,7,28,"Amish school shooting, Capitol Hill massacre, Goleta postal shootings"
2007,54,32,86,"Westroads Mall shooting, Crandon shooting, Virginia Tech massacre, Trolley Square shooting"
2008,18,24,42,"Atlantis Plastics shooting, Northern Illinois University shooting, Kirkwood City Council shooting"
2009,39,38,77,"Coffee shop police killings, Fort Hood massacre, Binghamton shootings, Carthage nursing home shooting"
2010,9,2,11,Hartford Beer Distributor shooting
2011,19,21,40,"Seal Beach shooting, IHOP shooting, Tucson shooting"
2012,72,68,140,"Newtown school shooting, Accent Signage Systems shooting, Sikh temple shooting, Aurora theater shooting, Seattle cafe shooting, Oikos University killings, Su Jung Health Sauna shooting"
2013,36,13,49,"Washington Navy Yard shooting, Hialeah apartment shooting, Santa Monica rampage, Pinewood Village Apartment shooting, Mohawk Valley shootings"
2014,9,3,12,"Marysville-Pilchuck High Schoolshooting, Alturas tribal shooting"
2015,24,10,34,"Oregon Community College shooting, Chattanooga military recruitment center, Charleston Church Shooting"
